R36	57.50	67.90	270.00	15.8k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R38	58.80	70.40	270.00	22.1k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R4	25.93	94.58	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R40	42.70	147.30	180.00	10k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R41	19.30	169.10	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R48	23.50	104.80	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R49	29.80	137.80	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R5	20.56	109.90	0.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R50	19.30	172.10	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R51	46.00	155.40	270.00	10k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R52	42.00	157.00	0.00	12k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R53	44.00	153.40	180.00	10k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R54	32.60	157.20	90.00	2k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R55	45.20	145.20	180.00	10k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R6	22.28	136.10	0.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R7	14.30	134.20	0.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R8	126.12	204.40	0.00	12k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R9	119.80	15.91	90.00	10k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
U1	28.46	123.70	180.00	EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR	EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR
U10	106.50	34.60	180.00	MCP7940N-E_MS	SOP65P490X110-8N
U11	117.66	39.15	180.00	EDGE-LIBRARY_74LVC1G07SE-7	EDGE-LIBRARY_SOT65P210X110-5N
U12	26.16	199.05	0.00	EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR	EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR
U13	46.40	182.40	0.00	EDGE-LIBRARY_USB2514B-I_M2_USB2514B-I/M2	EDGE-LIBRARY_USB2514B-I_M2_QFN50P600X600X100-37N
U14	39.74	200.27	180.00	FSUSB42UMX	QFN40P140X180X55-10N
U15	72.29	17.06	0.00	EDGE-LIBRARY_AP64501_AP64501	EDGE-LIBRARY_AP64501_SOIC127P600X265-9T261X350N
U16	37.50	152.00	0.00	LAN7800-I_VSX	QFN40P600X600X90-49N
U17	39.14	140.41	0.00	SAMACSYS_PARTS_93AA66AT-I_OT	SAMACSYS_PARTS_SOT95P270X145-6N
U18	26.56	154.95	180.00	EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR	EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR
U19	26.56	150.55	180.00	EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR	EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR
U2	28.46	118.85	180.00	EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR	EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR
U20	56.90	60.60	90.00	EDGE-LIBRARY_AP64501_AP64501	EDGE-LIBRARY_AP64501_SOIC127P600X265-9T261X350N
U21	26.06	193.90	0.00	EDGE-LIBRARY_TPD4EUSB30DQAR_TPD4EUSB30DQAR	EDGE-LIBRARY_TPD4EUSB30DQAR_IC_TPD4EUSB30DQAR
U3	30.50	71.00	90.00	EDGE-LIBRARY_AP64501_AP64501	EDGE-LIBRARY_AP64501_SOIC127P600X265-9T261X350N
U4	129.45	40.56	90.00	EDGE-LIBRARY_74LVC1G07SE-7	EDGE-LIBRARY_SOT65P210X110-5N
U5	120.80	205.40	180.00	MIC2025-2YMM	SOP65P490X110-8N
U6	114.93	15.31	0.00	SAMACSYS_PARTS_TPS3850G33DRCT	SAMACSYS_PARTS_SON50P300X300X100-11N
U7	99.34	71.89	90.00	EDGE-LIBRARY_AP64501_AP64501	EDGE-LIBRARY_AP64501_SOIC127P600X265-9T261X350N
U8	82.64	45.34	90.00	EDGE-LIBRARY_AP64501_AP64501	EDGE-LIBRARY_AP64501_SOIC127P600X265-9T261X350N
U9	57.25	85.56	90.00	EDGE-LIBRARY_AP2553AW6-7	EDGE-LIBRARY_SOT95P280X140-6N
Y1	112.90	34.30	270.00	XTAL32.7682-SMD	XTAL_ECS-.327-12.5-34R-TR
Y2	46.09	191.65	180.00	EDGE-LIBRARY_ABM8-24.000MHZ-B2-T_ABM8-24.000MHZ-B2-T	EDGE-LIBRARY_ABM8-24.000MHZ-B2-T_OSCSC320X250X100N
Y3	38.16	161.77	270.00	SAMACSYS_PARTS_ABM8G-25.000MHZ-B4Y-T3	SAMACSYS_PARTS_ABM8G48000MHZ18D2YT
